gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,pvalb_cor
C20orf160,1034938,A_23_P91414,80058,chromosome 20 open reading frame 160,140706,20,0.046242518420727866
C20orf165,1035439,CUST_16708_PI416261804,79297,spermatogenesis associated 25,128497,20,0.0022970861540730293
C20orf175,1034890,CUST_5817_PI416261804,80194,"family with sequence similarity 65, member C",140876,20,0.03147582363014714
C20orf177,1040086,CUST_159_PI416261804,40582,"family with sequence similarity 217, member B",63939,20,0.41051385607294527
C20orf181,1016866,A_24_P238016,1000579,chromosome 20 open reading frame 181,100128998,20,-0.11106827429374329
C20orf185,1031681,CUST_2238_PI416261804,110822,"BPI fold containing family B, member 3",359710,20,-0.02384766751576532
C20orf194,1020090,A_23_P406122,25692,chromosome 20 open reading frame 194,25943,20,-0.22454556885552854
C20orf195,1039433,A_23_P131754,54865,chromosome 20 open reading frame 195,79025,20,-0.15536063344619164
C20orf196,1034450,CUST_45_PI416261804,80828,chromosome 20 open reading frame 196,149840,20,0.1520296218258352
C20orf20,1042077,A_23_P17307,34546,chromosome 20 open reading frame 20,55257,20,0.4781640385272387
C20orf200,1032947,A_23_P432506,90141,C20orf166 antisense RNA 1 (non-protein coding),253868,20,0.5728103170856297
C20orf201,1023601,A_23_P348524,149625,chromosome 20 open reading frame 201,198437,20,0.032648391368985986
C20orf203,1014144,CUST_11589_PI416261804,94405,chromosome 20 open reading frame 203,284805,20,0.08195646819565594
C20orf24,1024316,A_23_P102582,35254,chromosome 20 open reading frame 24,55969,20,0.2521632293299537
C20orf26,1045057,A_32_P4262,25823,chromosome 20 open reading frame 26,26074,20,-0.23919120952841214
C20orf27,1021794,A_23_P28878,34265,chromosome 20 open reading frame 27,54976,20,-0.2933387765397979
C20orf29,1042001,A_23_P57137,34606,"adaptor-related protein complex 5, sigma 1 subunit",55317,20,-0.23907762126628662
C20orf3,1040805,A_23_P109201,36413,chromosome 20 open reading frame 3,57136,20,-0.2134348294067517
C20orf30,1030578,A_24_P382591,28794,transmembrane protein 230,29058,20,-0.12082398312358161
C20orf39,1038776,A_23_P251043,55755,synapse differentiation inducing 1,79953,20,0.4512412116589793
C20orf4,1045136,A_23_P166196,25729,chromosome 20 open reading frame 4,25980,20,-0.04404342452018347
C20orf43,1043342,A_23_P210619,30987,chromosome 20 open reading frame 43,51507,20,-0.03548032713838687
C20orf46,1041995,A_23_P120504,34610,transmembrane protein 74B,55321,20,0.05888466008524492
C20orf54,1036323,CUST_1198_PI416261804,76657,"solute carrier family 52, riboflavin transporter, member 3",113278,20,-0.11571729266356055
C20orf7,1021959,A_24_P228579,54972,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 5",79133,20,0.3595168498042744
C20orf72,1036566,A_24_P254285,60204,chromosome 20 open reading frame 72,92667,20,-0.1741499035899006
C20orf74,1021923,A_24_P100605,36462,"Ral GTPase activating protein, alpha subunit 2 (catalytic)",57186,20,0.21654405341585264
C20orf82,1017502,A_32_P186731,80182,isthmin 1 homolog (zebrafish),140862,20,0.24388149512366894
C20orf85,1035435,A_23_P314835,79306,chromosome 20 open reading frame 85,128602,20,-0.051463790752483946
C20orf91,1020674,A_23_P166154,94401,"family with sequence similarity 182, member A",284800,20,-0.2317721055045334
C20orf94,1029939,A_23_P364766,79322,chromosome 20 open reading frame 94,128710,20,-0.11963323306540068
C20orf96,1034960,A_23_P328034,80033,chromosome 20 open reading frame 96,140680,20,0.018953310542413435
C21orf110,1014291,CUST_10640_PI416261804,119506,ankyrin repeat domain 30B,374860,18,-0.3973938194347509
C21ORF119,1015660,A_23_P29023,59186,chromosome 21 open reading frame 119,84996,21,-0.18532165951068316
C21orf128,1017219,A_23_P377860,80853,chromosome 21 open reading frame 128,150147,21,0.21961817644593332
C21orf2,1058664,CUST_6217_PI416261804,751,chromosome 21 open reading frame 2,755,21,-0.14615281701925
C21orf33,1049918,A_23_P109333,8158,chromosome 21 open reading frame 33,8209,21,0.14820804185103603
C21orf34,1014737,A_32_P188953,123162,long intergenic non-protein coding RNA 478,388815,21,-0.3022148818435255
C21orf45,1043004,A_23_P252335,33362,MIS18 kinetochore protein homolog A (S. pombe),54069,21,0.15314395883506404
C21orf49,1012463,CUST_9410_PI416261804,33360,chromosome 21 open reading frame 49,54067,21,-0.03560710848789484
C21orf51,1043007,A_24_P74487,33358,"family with sequence similarity 165, member B",54065,21,-0.0938047285223377
C21orf56,1017923,A_23_P371765,58431,chromosome 21 open reading frame 56,84221,21,-0.3714506336888509
C21orf57,1024288,CUST_903_PI416261804,33352,ybeY metallopeptidase (putative),54059,21,0.23307380811279718
C21orf58,1043008,A_23_P132139,33351,chromosome 21 open reading frame 58,54058,21,-0.07256980962982704
C21orf59,1024214,A_23_P91491,35962,chromosome 21 open reading frame 59,56683,21,-0.18457181314456866
C21orf62,1041287,A_23_P144959,35525,chromosome 21 open reading frame 62,56245,21,-0.36307325433347715
C21orf63,1040281,A_24_P649388,37695,"family with sequence similarity 176, member C",59271,21,0.04217996788762939
C21orf66,1019760,A_23_P211056,60750,GC-rich sequence DNA-binding factor 1,94104,21,0.02304569000833412
C21orf67,1016459,A_23_P309198,58737,chromosome 21 open reading frame 67,84536,21,-0.30624780493595666
C21orf70,1037079,A_32_P22883,59562,"family with sequence similarity 207, member A",85395,21,-0.17658005088807546
C21orf81,1016027,A_23_P392529,124197,"ankyrin repeat domain 20 family, member A11, pseudogene",391267,21,-0.1304841166562605
C21orf88,1018738,A_24_P267664,76897,chromosome 21 open reading frame 88,114041,21,-0.08025076750087215
C21orf91,1015243,CUST_5965_PI416261804,33442,chromosome 21 open reading frame 91,54149,21,0.03444161339355385
C22orf13,1038111,A_24_P353289,57848,chromosome 22 open reading frame 13,83606,22,0.0731115185012848
C22orf15,1034429,A_32_P142700,80867,chromosome 22 open reading frame 15,150248,22,-0.058328555600669164
C22orf23,1037479,A_23_P132308,58843,chromosome 22 open reading frame 23,84645,22,-0.33900950013323256
C22orf24,1017250,A_23_P166431,25524,chromosome 22 open reading frame 24,25775,22,-0.16772879492132797
C22orf25,1035405,CUST_5860_PI416261804,79356,chromosome 22 open reading frame 25,128989,22,0.20833858806946048
C22orf26,1042068,CUST_309_PI416261804,34556,chromosome 22 open reading frame 26,55267,22,-0.042239046559507144
C22orf28,1043357,A_23_P68889,30973,chromosome 22 open reading frame 28,51493,22,0.026227201871343944
C22orf29,1039089,A_23_P399726,55483,chromosome 22 open reading frame 29,79680,22,-0.15859429940213077
C22orf30,1032970,CUST_8209_PI416261804,90089,proline rich 14-like,253143,22,-0.1851128272086059
C22orf32,1036705,A_24_P271542,60084,chromosome 22 open reading frame 32,91689,22,0.2135354389613733
C22orf34,1010811,CUST_11623_PI416261804,110397,chromosome 22 open reading frame 34,348645,22,0.17249496947771695
C22orf36,1031403,A_32_P198325,123180,"family with sequence similarity 211, member B",388886,22,0.13295160055364794
C22orf39,1035407,A_24_P922357,79355,chromosome 22 open reading frame 39,128977,22,-0.3344028293082317
C22orf40,1034411,A_24_P478726,80887,chromosome 22 open reading frame 40,150383,22,-0.0012168899052528075
C22orf41,1015559,A_24_P659836,151891,synaptonemal complex central element protein 3,644186,22,-0.16562483530259145
C22orf43,1023443,A_24_P91701,30714,chromosome 22 open reading frame 43,51233,22,-0.024943755766575162
C22ORF45,1070072,A_32_P225536,152920,chromosome 22 open reading frame 45,646023,22,0.08172279114981745
C22orf9,1028592,A_32_P88479,23068,KIAA0930,23313,22,-0.013089857343021169
C2CD2,1045151,A_24_P940149,25715,C2 calcium-dependent domain containing 2,25966,21,0.1702591911634087
C2CD2L,1048094,A_23_P353056,9710,C2CD2-like,9854,11,-0.30482811756921896
C2CD3,1045119,A_24_P238215,25754,C2 calcium-dependent domain containing 3,26005,11,0.23418402321780346
C2orf15,1034399,A_23_P415511,80909,chromosome 2 open reading frame 15,150590,2,-0.023788427127340774
C2orf18,1042434,A_24_P913339,34267,chromosome 2 open reading frame 18,54978,2,-0.06743376010224701
C2orf21,1017801,A_24_P817863,94487,unc-80 homolog (C. elegans),285175,2,0.08945415753780082
C2orf24,1044724,A_24_P128683,26758,cyclin Pas1/PHO80 domain containing 1,27013,2,0.06112347234535906
C2orf27A,1044241,A_32_P32061,29533,chromosome 2 open reading frame 27A,29798,2,0.1661996714553991
C2orf27B,1031112,A_24_P8888,128243,chromosome 2 open reading frame 27B,408029,2,-0.07867385753893487
C2orf28,1023987,CUST_708_PI416261804,30855,chromosome 2 open reading frame 28,51374,2,-0.05252674788270563
C2orf29,1041829,A_23_P108761,34860,chromosome 2 open reading frame 29,55571,2,0.05652470215618321
C2orf3,1050916,A_23_P120062,6896,GC-rich sequence DNA-binding factor 2,6936,2,0.009666422661614734
C2orf30,1019622,A_23_P39971,26993,endoplasmic reticulum lectin 1,27248,2,-0.023634277617622365
C2orf34,1038909,CUST_6194_PI416261804,55626,calmodulin-lysine N-methyltransferase,79823,2,-0.12695541482834924
C2orf37,1038682,A_23_P5481,55869,DDB1 and CUL4 associated factor 17,80067,2,0.03904677821746268
C2orf39,1036546,A_23_P308722,60218,coiled-coil domain containing 164,92749,2,-0.21375648393073857
C2orf40,1037612,A_23_P56433,58618,chromosome 2 open reading frame 40,84417,2,-0.09499168773340098
C2orf42,1042429,A_23_P79441,34269,chromosome 2 open reading frame 42,54980,2,0.14275319334000813
C2orf43,1040186,A_23_P420256,37986,chromosome 2 open reading frame 43,60526,2,-0.10625382610132167
C2orf44,1017667,A_23_P154022,56105,chromosome 2 open reading frame 44,80304,2,0.09125001770107675
C2orf47,1039222,A_23_P131526,55371,chromosome 2 open reading frame 47,79568,2,0.1617597838758287
C2orf48,1031779,CUST_103_PI416261804,110401,chromosome 2 open reading frame 48,348738,2,-0.019704247284265057
C2orf49,1039392,CUST_14904_PI416261804,54914,chromosome 2 open reading frame 49,79074,2,0.05008484498144764
C2orf50,1035329,CUST_888_PI416379584,79445,chromosome 2 open reading frame 50,130813,2,-0.06396623505291832
C2orf54,1038809,CUST_5136_PI416261804,55721,chromosome 2 open reading frame 54,79919,2,-0.05977139424729045
C2orf55,1031877,CUST_8309_PI416261804,110099,chromosome 2 open reading frame 55,343990,2,-0.0490891263994785
C2orf56,1018550,A_23_P28318,34760,chromosome 2 open reading frame 56,55471,2,0.11884201208308771
C2orf57,1033855,CUST_316_PI416261804,81655,chromosome 2 open reading frame 57,165100,2,-0.0883996561708803
C2orf60,1022141,A_32_P36942,79374,tRNA-yW synthesizing protein 5,129450,2,-0.1090960397177575
C2orf62,1031595,CUST_77_PI416573500,119571,chromosome 2 open reading frame 62,375307,2,-0.0904076563839411
C2orf63,1015062,CUST_7500_PI416261804,79410,chromosome 2 open reading frame 63,130162,2,0.03233396178192352
C2orf64,1027360,CUST_560_PI416261804,149572,cytochrome C oxidase assembly factor 5,493753,2,-0.08630781567526692
C2orf67,1034377,A_24_P32342,80945,KAT8 regulatory NSL complex subunit 1-like,151050,2,-0.13506770438721835
C2orf68,1025254,A_32_P179005,123225,chromosome 2 open reading frame 68,388969,2,0.043953599708723715
C2orf69,1033347,A_24_P413941,83778,chromosome 2 open reading frame 69,205327,2,-0.3573955425684226
C2orf7,1037702,A_23_P131596,58489,protease-associated domain containing 1,84279,2,0.3482076466058672
C2orf70,1010298,A_32_P50603,109730,chromosome 2 open reading frame 70,339778,2,-0.26903264264321564
C2orf72,1014072,CUST_10621_PI416261804,90415,chromosome 2 open reading frame 72,257407,2,-0.09222905111538786
C2orf73,1019076,A_24_P58488,79394,chromosome 2 open reading frame 73,129852,2,-0.43755091690204373
C2orf74,1011329,A_32_P163036,109739,chromosome 2 open reading frame 74,339804,2,-0.11108472173446407
C2orf76,1025643,A_23_P39542,79414,chromosome 2 open reading frame 76,130355,2,-0.0966389910502073
C2orf77,1019137,A_24_P349145,79398,chromosome 2 open reading frame 77,129881,2,-0.0031692662759662243
C2orf80,1016272,A_32_P199462,123259,chromosome 2 open reading frame 80,389073,2,-0.45062020604438535
C2orf81,1016636,A_23_P131449,123222,chromosome 2 open reading frame 81,388963,2,-0.11608593361910423
C2orf82,1031393,CUST_9_PI416379584,123264,chromosome 2 open reading frame 82,389084,2,0.19323517858598668
C2orf84,1010467,CUST_1126_PI416379584,119557,UPF0638 protein B,375190,2,-0.3733018342805255
C2orf86,1021058,A_23_P90565,30539,WD repeat containing planar cell polarity effector,51057,2,0.3263887260202619
C2orf88,1037699,A_23_P17130,58491,chromosome 2 open reading frame 88,84281,2,-0.0730512853777427
C3,1058704,A_23_P101407,714,complement component 3,718,19,-0.33416174659058756
C3AR1,1058702,A_23_P2431,715,complement component 3a receptor 1,719,12,-0.20519419141731832
C3orf14,1040682,CUST_101_PI416261804,36689,chromosome 3 open reading frame 14,57415,3,-0.24713042084391584
C3orf15,1036966,A_32_P55871,59805,chromosome 3 open reading frame 15,89876,3,-0.014283207016161894
C3orf17,1045267,A_23_P336670,25620,chromosome 3 open reading frame 17,25871,3,-0.33208738092010714
C3orf18,1043696,A_23_P155477,30643,chromosome 3 open reading frame 18,51161,3,0.5213111672075319
C3orf19,1043603,A_24_P144481,30725,chromosome 3 open reading frame 19,51244,3,-0.019228221067002043
C3orf20,1037871,CUST_7035_PI416261804,58288,chromosome 3 open reading frame 20,84077,3,0.03340559073564671
C3orf21,1018614,A_23_P345710,81028,xyloside xylosyltransferase 1,152002,3,0.1820781636448838
C3orf22,1034318,A_23_P395585,81036,chromosome 3 open reading frame 22,152065,3,-0.07964835601234671
C3orf23,1032333,A_23_P373054,94546,chromosome 3 open reading frame 23,285343,3,0.088377513112285
C3orf25,1036906,A_32_P99753,59879,chromosome 3 open reading frame 25,90288,3,-0.09143426807609849
C3orf26,1037649,A_23_P132874,58529,chromosome 3 open reading frame 26,84319,3,-0.38556670788080866
C3orf27,1045707,A_23_P166969,23189,chromosome 3 open reading frame 27,23434,3,-0.018006758308925928
C3orf31,1035269,A_32_P755542,79497,"TAM41, mitochondrial translocator assembly and maintenance protein, homolog (S. cerevisiae)",132001,3,-0.14965269037109477
C3orf32,1043824,A_23_P144005,30548,chromosome 3 open reading frame 32,51066,3,-0.04362332300433539
C3orf33,1032336,CUST_98_PI416261804,94537,chromosome 3 open reading frame 33,285315,3,-0.05433441509553679
C3orf34,1037162,A_32_P212058,59174,centrosomal protein 19kDa,84984,3,0.1954701847144777
C3orf35,1028836,A_23_P341503,109756,chromosome 3 open reading frame 35,339883,3,0.10629472914035092
C3orf37,1041076,CUST_241_PI416261804,36220,chromosome 3 open reading frame 37,56941,3,0.2425797800171153
C3orf38,1032370,A_23_P44177,94513,chromosome 3 open reading frame 38,285237,3,-0.023822430756901106
C3orf39,1037278,A_23_P18082,59082,glycosyltransferase-like domain containing 2,84892,3,-0.09635972603110386
C3orf41,1019058,A_23_P69154,170019,"family with sequence similarity 198, member A",729085,3,-0.141030275235641
C3orf45,1035262,A_32_P466877,79508,chromosome 3 open reading frame 45,132228,3,-0.009154167576467243
C3orf54,1031390,A_23_P158470,123285,"family with sequence similarity 212, member A",389119,3,-0.2670339106783043
C3orf58,1019929,A_23_P144134,83779,chromosome 3 open reading frame 58,205428,3,0.184348640167829
C3orf59,1034327,A_32_P117464,81026,Mab-21 domain containing 2,151963,3,-0.142818169111198
C3orf62,1031589,A_24_P63290,119579,chromosome 3 open reading frame 62,375341,3,-0.10127354390008031
C3orf63,1017546,A_23_P6651,23027,"family with sequence similarity 208, member A",23272,3,-0.12717722051359096
C3orf64,1032373,CUST_1495_PI416261804,94502,EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase,285203,3,0.11829505928960485
C3orf67,1033513,CUST_118_PI416573500,83594,chromosome 3 open reading frame 67,200844,3,-0.027214732692338837
C3orf70,1022032,A_32_P128174,94560,chromosome 3 open reading frame 70,285382,3,-0.45266964989084413
C3orf71,1017799,A_24_P76018,158948,chromosome 3 open reading frame 71,646450,3,-0.09887802447397509
C3orf75,1026082,A_23_P212310,34148,chromosome 3 open reading frame 75,54859,3,0.10161129378947041
C3orf78,1015868,A_23_P370924,134085,chromosome 3 open reading frame 78,440957,3,-0.2989183113895619
C4A,1058700,A_23_P42282,716,complement component 4A (Rodgers blood group),720,6,-0.44549728188803983
C4BPB,1024868,CUST_15582_PI416261804,721,"complement component 4 binding protein, beta",725,1,0.001302325253028018
C4ORF10,1010947,CUST_7306_PI416261804,105957,NOP14 antisense RNA 1 (non-protein coding),317648,4,-0.22215318894623592
C4orf16,1014330,A_24_P363023,34724,adaptor-related protein complex 1 associated regulatory protein,55435,4,0.028358918999317712
C4orf18,1016612,A_23_P218928,30794,"family with sequence similarity 198, member B",51313,4,0.20088351462046816
C4orf19,1014102,A_23_P29975,34575,chromosome 4 open reading frame 19,55286,4,-0.17185618386072515
C4orf21,1041945,A_24_P201728,34634,chromosome 4 open reading frame 21,55345,4,-0.05418180584271849
C4orf22,1032868,A_23_P312999,90247,chromosome 4 open reading frame 22,255119,4,0.24323911222657166
C4orf23,1034275,A_23_P18590,81097,tRNA methyltransferase 44 homolog (S. cerevisiae),152992,4,-0.003623022033131689
C4orf26,1034284,A_23_P386268,81088,chromosome 4 open reading frame 26,152816,4,0.05328374743644137
C4orf27,1042445,A_23_P60506,34258,chromosome 4 open reading frame 27,54969,4,0.28216259402976873
C4orf29,1022568,A_23_P167358,55968,chromosome 4 open reading frame 29,80167,4,0.040721966980989364
C4orf3,1031184,A_23_P388433,125487,chromosome 4 open reading frame 3,401152,4,0.09864537782599296
C4orf30,1042582,CUST_336_PI416261804,34165,DDB1 and CUL4 associated factor 16,54876,4,-0.014572009536487367
C4orf31,1021375,A_23_P110266,55428,neuron-derived neurotrophic factor,79625,4,-0.06994385818914396
C4orf32,1035249,A_23_P58390,79529,chromosome 4 open reading frame 32,132720,4,-0.27300697133799656
C4orf33,1018864,A_23_P433152,79514,chromosome 4 open reading frame 33,132321,4,0.49548606978682025
C4orf34,1033430,A_23_P112634,83664,chromosome 4 open reading frame 34,201895,4,-0.15252585933850796
C4orf36,1035231,A_23_P377339,79543,chromosome 4 open reading frame 36,132989,4,-0.08576188064628243
C4orf37,1032303,CUST_358_PI416261804,94607,chromosome 4 open reading frame 37,285555,4,0.07726942429079524
C4ORF38,1019996,A_24_P354496,81076,WWC2 antisense RNA 2 (non-protein coding),152641,4,0.23546137638945483
C4ORF39,1034291,CUST_398_PI416261804,81083,"family with sequence similarity 218, member A",152756,4,-0.11432531803749642
C4orf41,1028174,A_23_P170399,38115,trafficking protein particle complex 11,60684,4,0.14472988859463287
C4orf43,1042000,CUST_11432_PI416261804,34608,translation machinery associated 16 homolog (S. cerevisiae),55319,4,-0.06167715623282362
C4orf45,1034277,A_23_P386964,81095,chromosome 4 open reading frame 45,152940,4,-0.42247784329292676
C4orf47,1020840,CUST_688_PI416379584,134177,chromosome 4 open reading frame 47,441054,4,-0.1161881561800974
C4orf48,1011186,CUST_2944_PI416261804,125465,chromosome 4 open reading frame 48,401115,4,-0.0019815440054097733
C4orf49,1037396,A_23_P255331,58905,mitochondria-localized glutamic acid-rich protein,84709,4,0.42891290838584994
C4orf50,1031380,CUST_1309_PI416379584,123332,chromosome 4 open reading frame 50,389197,4,-0.10182083834316026
C4ORF52,1018194,A_24_P341222,123335,chromosome 4 open reading frame 52,389203,4,-0.023882321088092497
C4orf6,1047782,A_23_P7048,9996,chromosome 4 open reading frame 6,10141,4,-0.03330368028790381
C4orf8,1049528,A_24_P131785,8537,"family with sequence similarity 193, member A",8603,4,-0.025884308541785247
C5,1058694,A_23_P71855,723,complement component 5,727,9,-0.26873068259353405
C5AR1,1058692,A_23_P153562,724,complement component 5a receptor 1,728,19,-0.28389779058507375
C5orf13,1010696,A_24_P149124,9181,neuronal regeneration related protein homolog (rat),9315,5,0.5681770030022666
C5orf15,1041055,A_23_P81650,36230,chromosome 5 open reading frame 15,56951,5,-0.08923366322324135
C5orf22,1041993,A_23_P7761,34611,chromosome 5 open reading frame 22,55322,5,0.042376290666432025
C5orf24,1015240,A_24_P337504,79612,chromosome 5 open reading frame 24,134553,5,0.228240135456697
C5orf25,1031577,A_24_P392060,119587,chromosome 5 open reading frame 25,375484,5,-0.0017775140643189297
C5ORF27,1010692,A_32_P128209,83686,chromosome 5 open reading frame 27,202299,5,-0.2280497441431837
C5orf28,1039858,A_23_P121875,41015,chromosome 5 open reading frame 28,64417,5,0.24704613456001737
C5orf30,1036888,A_23_P122007,59895,chromosome 5 open reading frame 30,90355,5,-0.242732848538341
C5orf33,1019764,A_23_P337168,79569,NAD kinase domain containing 1,133686,5,-0.5968773975357632
C5orf34,1031580,A_23_P403081,119585,chromosome 5 open reading frame 34,375444,5,-0.07850862240639306
C5orf35,1035220,A_23_P433111,79556,SET domain containing 9,133383,5,-0.20581887266710494
C5orf36,1020602,A_32_P138833,94619,KIAA0825,285600,5,-0.22536855867006944
C5orf37,1012367,CUST_388_PI416261804,79599,POC5 centriolar protein homolog (Chlamydomonas),134359,5,-0.06363225875926233
C5orf4,1024565,A_23_P501831,10668,chromosome 5 open reading frame 4,10826,5,0.0033166432822246887
C5orf40,1031108,A_23_P306489,128444,fibronectin type III domain containing 9,408263,5,-0.41805250731537963
C5orf41,1034266,A_23_P404606,81109,CREB3 regulatory factor,153222,5,0.30683312397893414
C5orf42,1039548,A_23_P213877,41751,chromosome 5 open reading frame 42,65250,5,-0.010585348535891909
C5orf43,1013209,A_32_P33821,152670,chromosome 5 open reading frame 43,643155,5,-0.17116886570243015
C5orf44,1017445,A_23_P121825,55808,chromosome 5 open reading frame 44,80006,5,0.11600744384725013
C5orf45,1026319,A_23_P58604,30631,chromosome 5 open reading frame 45,51149,5,0.21874371820928568
C5orf49,1018192,CUST_658_PI416573500,79587,chromosome 5 open reading frame 49,134121,5,-0.48883292657441885
C5orf51,1032289,A_32_P6832,94631,chromosome 5 open reading frame 51,285636,5,0.11214072433947962
C5orf53,1027641,A_24_P110558,149566,IgA-inducing protein homolog (Bos taurus),492311,5,0.20411342204086708
C5orf54,1040108,A_23_P259103,40563,chromosome 5 open reading frame 54,63920,5,-0.08717377995520736
C5orf55,1019092,A_24_P247316,77764,chromosome 5 open reading frame 55,116349,5,-0.2887770939330192
C5orf56,1025314,CUST_1290_PI416573500,134231,chromosome 5 open reading frame 56,441108,5,0.07513602198934975
C5ORF62,1037132,A_23_P414273,59214,chromosome 5 open reading frame 62,85027,5,0.4387222228138152
C6orf1,1023351,A_23_P81993,85765,chromosome 6 open reading frame 1,221491,6,-0.41329774374120587
C6orf100,1011055,CUST_3142_PI416261804,180938,chromosome 6 open reading frame 100,729583,6,-0.015263016758610758
C6orf105,1016207,A_23_P156826,59020,androgen-dependent TFPI-regulating protein,84830,6,-0.39014331942493763
C6orf106,1039734,A_23_P122582,41345,chromosome 6 open reading frame 106,64771,6,0.5496612699542943
C6orf108,1029018,A_24_P414733,10444,chromosome 6 open reading frame 108,10591,6,-0.12208749599059837
C6orf115,1016250,A_32_P160972,37341,ABRA C-terminal like,58527,6,0.38940943540380224
C6orf118,1033788,CUST_482_PI416261804,81713,chromosome 6 open reading frame 118,168090,6,-0.21649564361221446
C6orf120,1026761,A_24_P298846,122352,chromosome 6 open reading frame 120,387263,6,0.16990882652754227
C6orf124,1019332,A_32_P334340,158874,MLLT4 antisense RNA 1 (non-protein coding),653483,6,-0.16588080298736815
C6orf126,1031368,CUST_85_PI416573500,123422,colipase-like 2,389383,6,-0.2042928363414597
C6orf127,1021177,CUST_793_PI416379584,109816,colipase-like 1,340204,6,-0.19358788255585382
C6orf129,1029057,A_23_P133770,81191,coiled-coil domain containing 167,154467,6,-0.21741293510734508
C6orf130,1033140,A_23_P342091,85756,chromosome 6 open reading frame 130,221443,6,-0.08989698451657732
C6orf134,1038755,A_23_P70509,55771,alpha tubulin acetyltransferase 1,79969,6,-0.14612367310119476
C6orf136,1017632,A_23_P300826,85772,chromosome 6 open reading frame 136,221545,6,0.4251048441304534
C6orf138,1025683,CUST_478_PI416379584,135180,patched domain containing 4,442213,6,0.25165696158276746
C6ORF141,1063390,A_23_P386398,79640,chromosome 6 open reading frame 141,135398,6,-0.4065015104253158
C6orf142,1036849,A_23_P145555,59931,muscular LMNA-interacting protein,90523,6,-0.30996956477895105
C6orf145,1013306,A_32_P222751,85792,PX domain containing 1,221749,6,-0.1444971104078785
C6orf15,1044285,CUST_10488_PI416261804,28849,chromosome 6 open reading frame 15,29113,6,-0.08180175338584468
C6orf150,1036179,A_32_P1173,77645,Mab-21 domain containing 1,115004,6,-0.12001026500603396
C6orf153,1037012,A_23_P308581,59682,ribosomal RNA processing 36 homolog (S. cerevisiae),88745,6,0.05173346223047856
C6orf154,1025654,A_24_P737939,85753,leucine rich repeat containing 73,221424,6,-0.15755055260937148
C6orf162,1021173,A_23_P59255,36426,chromosome 6 open reading frame 162,57150,6,0.26290723358921847
C6orf164,1010463,A_23_P418434,40557,chromosome 6 open reading frame 164,63914,6,-0.027467115775691307
C6orf165,1024802,A_23_P385980,81184,chromosome 6 open reading frame 165,154313,6,-0.01570332437105849
C6orf167,1032958,A_32_P95914,90126,"MMS22-like, DNA repair protein",253714,6,0.371296918611266
C6orf170,1033156,A_24_P363446,85736,chromosome 6 open reading frame 170,221322,6,-0.10865242969359667
C6orf173,1023401,A_32_P143245,122200,centromere protein W,387103,6,-0.6041328187502775
C6orf182,1019848,A_23_P59358,94667,centrosomal protein 57kDa-like 1,285753,6,-0.0973721684871814
C6orf186,1018323,CUST_587_PI416573500,170098,methyltransferase like 24,728464,6,0.49397863789033497
C6orf191,1027001,CUST_320_PI416573500,90117,transmembrane protein 244,253582,6,-0.10475736269923594
C6orf192,1036009,A_23_P134113,78155,"solute carrier family 18, subfamily B, member 1",116843,6,-0.16443502864757797
C6orf201,1013299,CUST_5423_PI416261804,126392,chromosome 6 open reading frame 201,404220,6,-0.06351718362022885
C6orf203,1016788,A_23_P259333,30731,chromosome 6 open reading frame 203,51250,6,0.012518698554456028
C6orf204,1021273,A_24_P865,122216,centrosomal protein 85kDa-like,387119,6,0.02481922041658714
C6ORF208,1019180,A_23_P168165,55871,long intergenic non-protein coding RNA 574,80069,6,0.11441938792540665
C6orf211,1039163,A_23_P254472,55427,chromosome 6 open reading frame 211,79624,6,0.4884617413011202
C6orf222,1027111,CUST_484_PI416379584,123423,chromosome 6 open reading frame 222,389384,6,-0.42370417617844575
C6orf225,1022689,A_24_P756657,151786,chromosome 6 open reading frame 225,619208,6,-0.2537342630064922
C6orf226,1026230,CUST_10690_PI416261804,134269,chromosome 6 open reading frame 226,441150,6,-0.07364592275701852
C6ORF228,1020396,A_23_P70677,85785,chromosome 6 open reading frame 228,221710,6,0.28411970365267075
C6orf26,1022042,A_24_P3804,125533,suppressor APC domain containing 1,401251,6,-0.3291606248425061
C6orf27,1038465,A_23_P42288,56511,von Willebrand factor A domain containing 7,80737,6,-0.1619992089918606
C6orf47,1040376,A_23_P122532,37098,chromosome 6 open reading frame 47,57827,6,0.5282695781844469
C6orf48,1021401,A_23_P122531,30338,chromosome 6 open reading frame 48,50854,6,-0.04095585787325106
C6orf52,1017000,CUST_10643_PI416261804,110342,chromosome 6 open reading frame 52,347744,6,-0.475639629164604
C6orf57,1035152,A_23_P256279,79630,chromosome 6 open reading frame 57,135154,6,-0.05279682348954286
C6orf59,1024713,A_32_P216566,79614,ripply2 homolog (zebrafish),134701,6,0.32926464340171985
C6orf61,1032913,A_23_P397347,90190,minichromosome maintenance complex component 9,254394,6,-0.04156473498128666
C6orf62,1038265,A_24_P200652,57370,chromosome 6 open reading frame 62,81688,6,-0.04038291536638814
C6orf64,1041595,A_24_P153926,35065,SAYSVFN motif domain containing 1,55776,6,0.005796664487699087
C6orf70,1026364,A_32_P129527,35069,chromosome 6 open reading frame 70,55780,6,-0.35704403738106083
