gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,sst_cor
EVI5,1027576,A_24_P96593,7767,ecotropic viral integration site 5,7813,1,-0.04576056227801897
EVI5L,1018517,A_23_P101427,77695,ecotropic viral integration site 5-like,115704,19,0.12454994381491277
EVL,1043375,A_23_P140427,30947,Enah/Vasp-like,51466,14,0.02079696760312626
EVPL,1057146,A_24_P104512,2110,envoplakin,2125,17,-0.13355356094782278
EVPLL,1011464,CUST_4085_PI416261804,169658,envoplakin-like,645027,17,-0.023953467042495832
EVX1,1057144,A_24_P368943,2113,even-skipped homeobox 1,2128,7,-0.1102234477933307
EWSR1,1029928,A_23_P91657,2115,Ewing sarcoma breakpoint region 1,2130,22,0.007469148805394511
EXD1,1033980,A_23_P376036,81527,exonuclease 3'-5' domain containing 1,161829,15,0.48110134895783324
EXD2,1042134,A_23_P205296,34507,exonuclease 3'-5' domain containing 2,55218,14,-0.15099044449014087
EXD3,1042500,A_24_P49183,34221,exonuclease 3'-5' domain containing 3,54932,9,0.19391706012657706
EXOC1,1028059,A_23_P113966,35052,exocyst complex component 1,55763,4,0.1642120270535241
EXOC2,1041601,CUST_8978_PI416261804,35059,exocyst complex component 2,55770,6,-0.18501654546945506
EXOC3,1046330,A_23_P93046,11171,exocyst complex component 3,11336,5,-0.2566537036739969
EXOC3L,1032538,A_23_P424734,94092,exocyst complex component 3-like 1,283849,16,-0.1310920657345989
EXOC3L2,1036892,A_23_P38860,59887,exocyst complex component 3-like 2,90332,19,-0.13508975610038595
EXOC4,1040226,A_23_P135437,37872,exocyst complex component 4,60412,7,0.3732251725364543
EXOC5,1047132,A_23_P14464,10493,exocyst complex component 5,10640,14,-0.01201294711101724
EXOC6,1042839,A_23_P169576,33827,exocyst complex component 6,54536,10,0.5080559854648312
EXOC6B,1065162,A_32_P16258,22988,exocyst complex component 6B,23233,2,-0.23620542660808477
EXOC7,1027264,A_23_P89159,23020,exocyst complex component 7,23265,17,0.1055760713194906
EXOC8,1034471,A_32_P233314,80781,exocyst complex component 8,149371,1,-0.016366526786981073
EXOG,1019891,A_23_P250714,9797,"endo/exonuclease (5'-3'), endonuclease G-like",9941,3,-0.2786216618445577
EXOSC1,1043886,A_23_P35591,30496,exosome component 1,51013,10,0.31225566109592057
EXOSC10,1025356,CUST_1830_PI416261804,5362,exosome component 10,5394,1,-0.09096411949648484
EXOSC2,1045752,CUST_357_PI417507815,23159,exosome component 2,23404,9,0.09379896489266497
EXOSC3,1043892,A_23_P123905,30493,exosome component 3,51010,9,0.00549078143915674
EXOSC4,1042857,A_23_P32463,33803,exosome component 4,54512,8,0.3686576824908628
EXOSC5,1041101,CUST_6841_PI416261804,36194,exosome component 5,56915,19,0.2580375885083829
EXOSC6,1035942,A_32_P105893,78706,exosome component 6,118460,16,-0.13289438186925567
EXOSC7,1016982,A_24_P317135,22771,exosome component 7,23016,3,0.25548972775112344
EXOSC8,1046324,A_24_P241276,11175,exosome component 8,11340,13,0.21042452069335643
EXOSC9,1022632,A_23_P81121,5361,exosome component 9,5393,4,0.12235868780262164
EXPH5,1020541,A_23_P403335,22841,exophilin 5,23086,11,8.146436629524634e-4
EXT1,1057142,CUST_257_PI416408490,2116,exostosin 1,2131,8,-0.04828104102133998
EXT2,1029073,A_23_P13183,2117,exostosin 2,2132,11,0.1504589229843521
EXTL1,1057139,A_23_P62999,2119,exostoses (multiple)-like 1,2134,1,0.05679521960561785
EXTL2,1022588,CUST_16629_PI416261804,2120,exostoses (multiple)-like 2,2135,1,-0.2877443693910939
EXTL3,1057137,A_23_P384405,2122,exostoses (multiple)-like 3,2137,8,0.05916933620804582
EYA1,1027624,CUST_14700_PI416261804,2123,eyes absent homolog 1 (Drosophila),2138,8,0.009879257093347252
EYA2,1025095,A_23_P500421,2124,eyes absent homolog 2 (Drosophila),2139,20,0.33509533121708046
EYA3,1057136,CUST_8104_PI416261804,2125,eyes absent homolog 3 (Drosophila),2140,1,-0.22122582813135552
EYA4,1027726,A_32_P219620,2055,eyes absent homolog 4 (Drosophila),2070,6,-0.44983762300663044
EZH1,1057133,A_23_P428219,2130,enhancer of zeste homolog 1 (Drosophila),2145,17,0.03700485978237141
EZH2,1029436,A_23_P259641,2131,enhancer of zeste homolog 2 (Drosophila),2146,7,-0.00923234699177986
F10,1057117,A_23_P205177,2144,coagulation factor X,2159,13,0.0988582692756242
F11,1057115,A_23_P41314,2145,coagulation factor XI,2160,4,0.030067679446142383
F11R,1043932,A_24_P319364,30332,F11 receptor,50848,1,0.08643515138461029
F12,1057113,A_23_P167674,2146,coagulation factor XII (Hageman factor),2161,5,0.5649015393619199
F13A1,1057111,A_32_P140139,2147,"coagulation factor XIII, A1 polypeptide",2162,6,0.11144719078260022
F2R,1057130,CUST_17124_PI416261804,2134,coagulation factor II (thrombin) receptor,2149,5,-0.09979201625555705
F2RL1,1057128,CUST_16879_PI416261804,2135,coagulation factor II (thrombin) receptor-like 1,2150,5,-0.2151702217634807
F2RL3,1049097,CUST_12051_PI416261804,8892,coagulation factor II (thrombin) receptor-like 3,9002,19,0.03822700250185697
F3,1057123,A_23_P126782,2137,"coagulation factor III (thromboplastin, tissue factor)",2152,1,0.06862278005551593
F5,1057121,A_23_P148768,2138,"coagulation factor V (proaccelerin, labile factor)",2153,1,0.06782472190605274
F7,1023322,A_23_P117298,2140,coagulation factor VII (serum prothrombin conversion accelerator),2155,13,-0.21432939654864175
F8,1026204,A_24_P314451,2142,"coagulation factor VIII, procoagulant component",2157,X,0.13993139039261138
F8A1,1049892,A_23_P11262,8210,coagulation factor VIII-associated 1,8263,X,-0.012480699398340301
FA2H,1039330,A_23_P49448,54991,fatty acid 2-hydroxylase,79152,16,-0.08272400013483545
FAAH,1057107,A_23_P103226,2151,fatty acid amide hydrolase,2166,1,0.17589711327257307
FAAH2,1034095,A_23_P113471,81402,fatty acid amide hydrolase 2,158584,X,-0.09059815373155387
FABP1,1057105,CUST_16115_PI416261804,2153,"fatty acid binding protein 1, liver",2168,2,0.18427151911533216
FABP3,1057100,A_24_P62783,2155,"fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)",2170,1,0.40502416151702997
FABP4,1068416,A_23_P8812,2152,"fatty acid binding protein 4, adipocyte",2167,8,0.13217413664749858
FABP5,1057096,A_23_P59877,2156,fatty acid binding protein 5 (psoriasis-associated),2171,8,0.5636642533982721
FABP5P3,1021832,A_24_P673063,85674,fatty acid binding protein 5 pseudogene 3,220832,7,0.5613147779600517
FABP6,1057093,A_23_P43846,2157,"fatty acid binding protein 6, ileal",2172,5,0.4313120184281985
FABP7,1057090,A_23_P134139,2158,"fatty acid binding protein 7, brain",2173,6,0.5790421115563112
FADD,1049330,A_23_P86917,8697,Fas (TNFRSF6)-associated via death domain,8772,11,0.09953221019476555
FADS1,1054559,A_23_P203419,3967,fatty acid desaturase 1,3992,11,0.18242917369835748
FADS2,1048620,A_23_P98580,9279,fatty acid desaturase 2,9415,11,0.357528539800772
FADS3,1054557,CUST_10852_PI416261804,3970,fatty acid desaturase 3,3995,11,0.5189230382606889
FADS6,1032530,CUST_6260_PI416261804,94132,"fatty acid desaturase domain family, member 6",283985,17,-0.16974522936420794
FAF1,1046567,A_23_P96853,10965,Fas (TNFRSF6) associated factor 1,11124,1,-0.047438615488968876
FAF2,1045925,A_24_P294719,22952,Fas associated factor family member 2,23197,5,0.015349657402960864
FAH,1057077,A_23_P129221,2169,fumarylacetoacetate hydrolase (fumarylacetoacetase),2184,15,0.42334024926129055
FAHD1,1012945,CUST_862_PI416573500,57561,fumarylacetoacetate hydrolase domain containing 1,81889,16,0.20849383944752847
FAHD2A,1043891,A_23_P5731,30494,fumarylacetoacetate hydrolase domain containing 2A,51011,2,0.3426819443298053
FAHD2B,1034361,CUST_7339_PI416261804,80973,fumarylacetoacetate hydrolase domain containing 2B,151313,2,-0.004299873528357283
FAIM,1030330,A_23_P253932,34468,Fas apoptotic inhibitory molecule,55179,3,0.14418494109938426
FAIM2,1046098,A_24_P275428,22772,Fas apoptotic inhibitory molecule 2,23017,12,0.2954515069761454
FAIM3,1019778,A_23_P138125,9090,Fas apoptotic inhibitory molecule 3,9214,1,0.037856176979125175
FAM100A,1035707,A_23_P402787,78991,"family with sequence similarity 100, member A",124402,16,0.16572275631574937
FAM100B,1032522,A_24_P194714,94136,"family with sequence similarity 100, member B",283991,17,0.1056612027352156
FAM101A,1034785,A_32_P200697,80358,"family with sequence similarity 101, member A",144347,12,0.42133870268578594
FAM101B,1020415,A_24_P299318,110927,"family with sequence similarity 101, member B",359845,17,0.09005146253871707
FAM102A,1022076,A_23_P112531,124879,"family with sequence similarity 102, member A",399665,9,0.17208771764572992
FAM102B,1029802,A_32_P172864,94352,"family with sequence similarity 102, member B",284611,1,0.561544883942284
FAM103A1,1038104,A_23_P65712,57882,"family with sequence similarity 103, member A1",83640,15,0.17542284646553716
FAM104A,1015938,A_23_P78289,59113,"family with sequence similarity 104, member A",84923,17,0.019446150657205737
FAM104B,1036816,CUST_237_PI416261804,59961,"family with sequence similarity 104, member B",90736,X,-0.08332826146510941
FAM105A,1042883,A_23_P133438,33782,"family with sequence similarity 105, member A",54491,5,0.33766960159379517
FAM105B,1036911,A_24_P414446,59874,"family with sequence similarity 105, member B",90268,5,-0.03150129672140683
FAM106A,1013087,CUST_10762_PI416261804,55841,"family with sequence similarity 106, member A",80039,17,-0.13941049058383498
FAM107A,1010585,A_24_P131622,11011,"family with sequence similarity 107, member A",11170,3,0.3391602322573759
FAM107B,1038102,A_23_P149975,57883,"family with sequence similarity 107, member B",83641,10,-0.0779563838227062
FAM108A4,1016805,A_24_P187583,57598,"family with sequence similarity 108, member A1",81926,19,-0.19521398133087903
FAM108A4P,1017427,A_32_P68335,166968,"family with sequence similarity 108, member A4, pseudogene",648359,1,-0.14963819533472178
FAM108A5P,1012228,A_23_P91615,182282,"family with sequence similarity 108, member A5, pseudogene",729495,22,-0.07111159672632454
FAM108B1,1030511,CUST_116_PI416379584,30586,"family with sequence similarity 108, member B1",51104,9,-0.05930772921444653
FAM108C1,1010620,A_32_P39093,37303,"family with sequence similarity 108, member C1",58489,15,0.3415873819670364
FAM109A,1034753,A_24_P143076,80393,"family with sequence similarity 109, member A",144717,12,0.09399703931160983
FAM109B,1029000,CUST_10576_PI416261804,80881,"family with sequence similarity 109, member B",150368,22,-0.1792160148482297
FAM110A,1025271,A_23_P386241,57784,"family with sequence similarity 110, member A",83541,20,-0.3725698812885166
FAM110B,1036886,A_23_P395609,59896,"family with sequence similarity 110, member B",90362,8,0.3433604402469475
FAM110C,1015818,A_24_P50248,150531,"family with sequence similarity 110, member C",642273,2,0.48970033960924786
FAM111A,1010494,A_23_P203332,40544,"family with sequence similarity 111, member A",63901,11,0.28367131559932585
FAM113A,1039732,A_23_P17471,41347,PC-esterase domain containing 1A,64773,20,0.1432876251568894
FAM113B,1036732,A_23_P36888,60056,PC-esterase domain containing 1B,91523,12,0.556370481070553
FAM114A1,1036563,CUST_170_PI416261804,60207,"family with sequence similarity 114, member A1",92689,4,0.11700675346772577
FAM114A2,1046926,CUST_5818_PI416261804,10669,"family with sequence similarity 114, member A2",10827,5,0.23697708458625572
FAM115A,1048197,A_32_P56525,9603,"family with sequence similarity 115, member A",9747,7,-0.12655507964698162
FAM115C,1017925,A_23_P397978,94742,"family with sequence similarity 115, member C",285966,7,-0.38804241749665397
FAM116A,1033440,A_32_P118586,83654,"family with sequence similarity 116, member A",201627,3,-0.2232396992707916
FAM116B,1031094,A_24_P659036,128789,"family with sequence similarity 116, member B",414918,22,0.3374412908437944
FAM117A,1038332,A_23_P78053,57260,"family with sequence similarity 117, member A",81558,17,0.5168519309275882
FAM117B,1034381,A_32_P195401,80931,"family with sequence similarity 117, member B",150864,2,0.08216016896343797
FAM118A,1019738,A_23_P120973,34296,"family with sequence similarity 118, member A",55007,22,-0.07621771164117377
FAM118B,1039180,CUST_298_PI416261804,55410,"family with sequence similarity 118, member B",79607,11,-0.041524780880451556
FAM119A,1015203,A_24_P162929,80957,methyltransferase like 21A,151194,2,-0.2966408808477145
FAM119B,1027177,A_23_P320878,25644,methyltransferase like 21B,25895,12,-0.13246853369916775
FAM120A,1045928,A_23_P32294,22951,family with sequence similarity 120A,23196,9,0.04805017200238325
FAM120AOS,1034114,A_24_P832156,81369,family with sequence similarity 120A opposite strand,158293,9,0.47501581067614895
FAM120B,1037567,A_23_P313476,58699,family with sequence similarity 120B,84498,6,-0.1258984846752816
FAM120C,1042465,A_32_P67623,34243,family with sequence similarity 120C,54954,X,0.26704848992751024
FAM122A,1036067,A_23_P409516,77752,family with sequence similarity 122A,116224,9,0.09210778497173862
FAM122B,1034071,CUST_10507_PI416261804,81443,family with sequence similarity 122B,159090,X,5.75748893798049e-4
FAM122C,1034069,CUST_487_PI416261804,81444,family with sequence similarity 122C,159091,X,0.18128038439910776
FAM123A,1023367,A_23_P351305,85502,family with sequence similarity 123A,219287,13,-0.06051654115540445
FAM123B,1035032,CUST_98_PI417507815,79798,family with sequence similarity 123B,139285,X,-0.15798040619351086
FAM123C,1013994,A_24_P37355,83773,family with sequence similarity 123C,205147,2,0.006211965271963853
FAM124A,1033236,A_24_P150428,85624,family with sequence similarity 124A,220108,13,-0.1411889441960896
FAM124B,1038888,A_23_P39525,55646,family with sequence similarity 124B,79843,2,0.3129018111964035
FAM125A,1036489,CUST_2324_PI416261804,60272,"family with sequence similarity 125, member A",93343,19,0.12397663732752327
FAM125B,1023508,CUST_15421_PI416261804,59787,"family with sequence similarity 125, member B",89853,9,-0.00871802908520149
FAM126A,1037447,CUST_18_PI416408490,58866,"family with sequence similarity 126, member A",84668,7,0.10298299715822408
FAM126B,1032382,A_32_P226786,94485,"family with sequence similarity 126, member B",285172,2,-0.15268631833695723
FAM127A,1012511,A_23_P85236,8854,"family with sequence similarity 127, member A",8933,X,0.3949448761081816
FAM127B,1010622,A_23_P62429,25820,"family with sequence similarity 127, member B",26071,X,0.2781707320951235
FAM128B,1038674,A_24_P212152,55898,mitotic spindle organizing protein 2B,80097,2,0.5980161286463187
FAM129A,1027564,A_24_P233786,77822,"family with sequence similarity 129, member A",116496,1,0.27300152016717516
FAM129B,1039673,A_24_P124097,41418,"family with sequence similarity 129, member B",64855,9,-0.07881744526310006
FAM129C,1033563,A_24_P940348,83500,"family with sequence similarity 129, member C",199786,19,-0.115363287757758
FAM12A,1046884,A_23_P25813,10718,epididymal protein 3A,10876,14,0.03511731199829317
FAM131A,1035292,A_24_P354356,79471,"family with sequence similarity 131, member A",131408,3,0.19888321513071983
FAM131B,1048237,A_24_P252310,9571,"family with sequence similarity 131, member B",9715,7,-0.32769698349186255
FAM131C,1031780,A_24_P169073,110389,"family with sequence similarity 131, member C",348487,1,0.057911713669734834
FAM132A,1016390,A_32_P75792,123046,"family with sequence similarity 132, member A",388581,1,0.2517363293782777
FAM133A,1032211,A_24_P400027,94898,"family with sequence similarity 133, member A",286499,X,0.03444074052991064
FAM133B,1066208,A_24_P67552,90417,"family with sequence similarity 133, member B",257415,7,-0.228849856756007
FAM134A,1039345,A_23_P108522,54976,"family with sequence similarity 134, member A",79137,2,0.2698599035804516
FAM134B,1022011,A_23_P167599,33754,"family with sequence similarity 134, member B",54463,5,0.16768177388565314
FAM134C,1018088,A_24_P185158,81541,"family with sequence similarity 134, member C",162427,17,0.10875480192105005
FAM135A,1015269,A_23_P58862,36852,"family with sequence similarity 135, member A",57579,6,-0.05132502269010081
FAM135B,1043833,A_24_P326344,30541,"family with sequence similarity 135, member B",51059,8,-0.3293825687412034
FAM136A,1037255,A_23_P108641,59098,"family with sequence similarity 136, member A",84908,2,0.17329192823230893
FAM136BP,1011273,A_24_P179013,122168,"family with sequence similarity 136, member B, pseudogene",387071,6,0.12911516965742442
FAM138E,1017196,CUST_10770_PI416261804,152261,"family with sequence similarity 138, member F",641702,19,-0.06432612256507984
FAM13A,1023906,A_23_P370651,9999,"family with sequence similarity 13, member A",10144,4,-0.22651137939602697
FAM13A-AS1,1021800,A_24_P614362,94593,FAM13A antisense RNA 1 (non-protein coding),285512,4,-0.22351543378666222
FAM13B,1012049,A_23_P136460,30787,"family with sequence similarity 13, member B",51306,5,-0.3164256422269254
FAM13C,1025237,CUST_9572_PI416261804,85683,"family with sequence similarity 13, member C",220965,10,-0.007915419946179725
FAM148A,1034721,A_32_P509169,80456,C2 calcium-dependent domain containing 4A,145741,15,-0.10691462016894836
FAM148B,1027702,A_24_P564576,122839,C2 calcium-dependent domain containing 4B,388125,15,0.010064540734743804
FAM148C,1019496,A_32_P82895,79158,C2 calcium-dependent domain containing 4C,126567,19,0.659357713315253
FAM149A,1024079,A_23_P416965,25603,"family with sequence similarity 149, member A",25854,4,0.6439734282298699
FAM149B1,1063223,A_24_P230907,105961,"family with sequence similarity 149, member B1",317662,10,0.2958045603819267
FAM150A,1031355,CUST_7533_PI416261804,123520,"family with sequence similarity 150, member A",389658,8,-0.035004833512179465
FAM150B,1032396,A_24_P561341,94450,"family with sequence similarity 150, member B",285016,2,0.574915635272466
FAM151A,1032109,A_23_P407695,109338,"family with sequence similarity 151, member A",338094,1,0.028350824895240694
FAM151B,1033796,CUST_121_PI416573500,81701,"family with sequence similarity 151, member B",167555,5,0.15383430426181904
FAM153A,1032299,A_32_P84373,94617,"family with sequence similarity 153, member A",285596,5,0.08585254559467544
FAM153B,1018489,A_32_P84369,83678,"family with sequence similarity 153, member B",202134,5,0.006838045699514534
FAM154B,1029389,CUST_4655_PI416261804,94060,"family with sequence similarity 154, member B",283726,15,-0.22951737001393638
FAM155A,1019587,A_24_P706340,168322,"family with sequence similarity 155, member A",728215,13,-0.29580492227377797
FAM155B,1044651,A_23_P22647,26857,"family with sequence similarity 155, member B",27112,X,0.06581925405807645
FAM156A,1044348,A_23_P148519,28793,"family with sequence similarity 156, member A",29057,X,-0.11722349861155279
FAM157A,1015923,CUST_1070_PI416379584,171728,"family with sequence similarity 157, member A",728262,3,-0.19778578618110781
FAM158A,1043880,A_23_P88234,30499,ER membrane protein complex subunit 9,51016,14,0.28896968044521043
FAM159A,1021081,CUST_851_PI416379584,110383,"family with sequence similarity 159, member A",348378,1,-0.013726714263361275
FAM160A1,1012261,CUST_2967_PI416261804,171474,"family with sequence similarity 160, member A1",729830,4,-0.13909223139813373
FAM160A2,1016610,A_23_P24796,58278,"family with sequence similarity 160, member A2",84067,11,0.3132093553328243
FAM160B1,1025867,A_32_P26895,36973,"family with sequence similarity 160, member B1",57700,10,0.18810453259213467
FAM160B2,1039754,A_24_P76120,41335,"family with sequence similarity 160, member B2",64760,8,0.013047555397192207
FAM161A,1023042,A_32_P82189,58351,"family with sequence similarity 161, member A",84140,2,-0.045320543906565876
FAM161B,1034734,CUST_5706_PI416261804,80441,"family with sequence similarity 161, member B",145483,14,0.060040034052890066
FAM162A,1044860,A_23_P256542,26103,"family with sequence similarity 162, member A",26355,3,0.27783376991082165
FAM162B,1015738,A_23_P145054,85735,"family with sequence similarity 162, member B",221303,6,-0.05895103073246628
FAM163A,1034508,CUST_5705_PI416261804,80731,"family with sequence similarity 163, member A",148753,1,-0.038762189394108484
FAM164C,1021116,A_23_P99785,55499,"zinc finger, C2HC-type containing 1C",79696,14,0.21216658366653116
FAM166A,1031163,A_32_P187327,125698,"family with sequence similarity 166, member A",401565,9,0.4423199542752136
FAM167A,1038095,A_23_P334955,57890,"family with sequence similarity 167, member A",83648,8,0.16404590432380647
FAM167B,1037386,CUST_5803_PI416261804,58930,"family with sequence similarity 167, member B",84734,1,-0.21818343467746873
FAM168A,1019461,CUST_615_PI416573500,22956,"family with sequence similarity 168, member A",23201,11,-0.13080616068819031
FAM168B,1023516,A_24_P636318,79405,"family with sequence similarity 168, member B",130074,2,0.08593209718781383
FAM169A,1020246,A_23_P423074,25798,"family with sequence similarity 169, member A",26049,5,-0.22620994500678374
FAM171A1,1026880,A_23_P44964,85700,"family with sequence similarity 171, member A1",221061,10,-0.1529008955892166
FAM171A2,1017989,CUST_1017_PI416379584,94166,"family with sequence similarity 171, member A2",284069,17,0.32115464056677057
FAM171B,1033849,A_23_P423427,81658,"family with sequence similarity 171, member B",165215,2,0.21726752181275638
FAM172A,1037919,A_24_P111912,58205,"family with sequence similarity 172, member A",83989,5,0.23399421242108764
FAM173A,1039503,A_23_P54728,41833,"family with sequence similarity 173, member A",65990,16,0.24734677364976512
FAM173B,1035196,A_23_P133279,79588,"family with sequence similarity 173, member B",134145,5,0.1211572399483171
FAM174A,1031848,A_23_P30283,110187,"family with sequence similarity 174, member A",345757,5,0.23338663949014107
FAM174B,1031226,A_23_P100001,125113,"family with sequence similarity 174, member B",400451,15,0.3588788355266143
FAM175A,1037829,A_23_P253464,58353,"family with sequence similarity 175, member A",84142,4,-0.08784730582393145
FAM175B,1045960,CUST_5995_PI416261804,22927,"family with sequence similarity 175, member B",23172,10,-0.18500385430413532
FAM176B,1042174,CUST_6003_PI416261804,34483,"family with sequence similarity 176, member B",55194,1,-0.09488324224421459
FAM177A1,1014610,A_23_P322704,94030,"family with sequence similarity 177, member A1",283635,14,0.14645374225110785
FAM178A,1041659,CUST_7940_PI416261804,35008,"family with sequence similarity 178, member A",55719,10,0.00601956481797849
FAM178B,1043589,A_24_P231546,30733,"family with sequence similarity 178, member B",51252,2,-0.24584051658167824
FAM179A,1033851,A_24_P929367,81657,"family with sequence similarity 179, member A",165186,2,-0.09304353491326497
FAM179B,1046017,CUST_7199_PI416261804,22871,"family with sequence similarity 179, member B",23116,14,-0.396259196967203
FAM180A,1031361,CUST_6168_PI416261804,123488,"family with sequence similarity 180, member A",389558,7,-0.027581852675878878
FAM181A,1036935,A_23_P117380,59840,"family with sequence similarity 181, member A",90050,14,0.3724487388585272
FAM181B,1033217,A_32_P112100,85640,"family with sequence similarity 181, member B",220382,11,0.07531510059997376
FAM182B,1015219,A_23_P166147,171097,"family with sequence similarity 182, member B",728882,20,-0.09699726185874102
FAM183B,1031972,A_32_P119744,109836,"family with sequence similarity 183, member B",340286,7,-0.24680818331385793
FAM184A,1016876,A_23_P167818,55435,"family with sequence similarity 184, member A",79632,6,0.4535543257229663
FAM184B,1012117,CUST_8248_PI416261804,26891,"family with sequence similarity 184, member B",27146,4,-0.02388628232632898
FAM185A,1013145,CUST_11388_PI416261804,85843,"family with sequence similarity 185, member A",222234,7,0.01718260652946082
FAM186B,1037884,A_23_P25445,58281,"family with sequence similarity 186, member B",84070,12,-0.051284822420059425
FAM187B,1034555,CUST_7629_PI416261804,80679,"family with sequence similarity 187, member B",148109,19,-0.010111254918289441
FAM188B,1037806,CUST_12029_PI416261804,58393,"family with sequence similarity 188, member B",84182,7,-0.44345329328443556
FAM189A1,1016847,A_32_P143000,23114,"family with sequence similarity 189, member A1",23359,15,0.06087590106410816
FAM18A,1020201,CUST_78_PI416573500,1001023,"family with sequence similarity 18, member A",780776,16,0.4766424352791711
FAM18B2,1018365,A_23_P118516,83612,"family with sequence similarity 18, member B2",201158,17,-0.2105254802994817
FAM190A,1031186,CUST_1294_PI416573500,125483,"family with sequence similarity 190, member A",401145,4,-0.32174504772852536
FAM196A,1022640,A_32_P202013,152302,"family with sequence similarity 196, member A",642938,10,0.3477814952854959
FAM19A1,1031117,CUST_7250_PI416261804,128168,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A1",407738,3,0.1931981452797958
FAM19A2,1032069,A_24_P297551,109581,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A2",338811,12,-0.05346335409126332
FAM19A4,1034343,A_32_P71571,81004,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A4",151647,3,0.07149188293533344
FAM19A5,1045320,A_24_P560663,25566,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A5",25817,22,-0.15695940894782837
FAM200B,1015191,CUST_11352_PI416261804,94606,"family with sequence similarity 200, member B",285550,4,0.4257220374675994
FAM201A,1018746,A_24_P886197,81358,"family with sequence similarity 201, member A",158228,9,-0.011126639967534494
FAM201B,1020053,CUST_604_PI417507815,109720,"family with sequence similarity 201, member B",339742,2,-0.08758606494193237
FAM204A,1014118,A_32_P32250,40520,"family with sequence similarity 204, member A",63877,10,-0.04315301894471311
FAM207BP,1017090,CUST_344_PI417507815,172197,"family with sequence similarity 207, member B, pseudogene",729535,13,0.4555695243725806
FAM209A,1027514,A_24_P323941,83548,"family with sequence similarity 209, member A",200232,20,-0.10371422874803062
FAM20A,1014381,A_32_P108254,34046,"family with sequence similarity 20, member A",54757,17,-0.4294843724715242
FAM20B,1048031,A_24_P148043,9773,"family with sequence similarity 20, member B",9917,1,0.12944852156741887
FAM20C,1041034,A_23_P250122,36254,"family with sequence similarity 20, member C",56975,7,-0.1396487986263214
FAM215A,1011622,A_24_P22562,23345,"family with sequence similarity 215, member A (non-protein coding)",23591,17,-0.178536497505435
FAM21A,1028250,A_23_P429046,122656,"family with sequence similarity 21, member A",387680,10,-0.11618188275486457
FAM21C,1070313,CUST_3533_PI416261804,90128,"family with sequence similarity 21, member C",253725,10,-0.25175697101177097
FAM21D,1031076,A_32_P422453,151639,"family with sequence similarity 21, member D",653450,10,-0.07830783680580891
FAM226A,1019473,A_23_P387585,83743,"family with sequence similarity 226, member A (non-protein coding)",203429,X,-0.1100459125792283
FAM22E,1021532,CUST_3504_PI416261804,93817,"family with sequence similarity 22, member E",283008,10,-0.048005792036760316
FAM24A,1029519,A_32_P865708,78716,"family with sequence similarity 24, member A",118670,10,-0.10219956222040753
FAM24B,1033599,A_23_P52531,83443,"family with sequence similarity 24, member B",196792,10,0.16822947106021835
FAM25A,1022275,A_32_P40377,165565,"family with sequence similarity 25, member A",643161,10,0.2018442868667476
FAM26F,1026450,A_23_P7827,134284,"family with sequence similarity 26, member F",441168,6,0.5803076150731417
FAM27A,1015619,A_24_P342096,1002489,"family with sequence similarity 27, member A",548321,9,0.4756430308164051
FAM32A,1045108,A_23_P50331,25766,"family with sequence similarity 32, member A",26017,19,0.38085918067719265
FAM33A,1031786,A_32_P164522,110375,spindle and kinetochore associated complex subunit 2,348235,17,-0.12036169678658548
FAM35B,1019564,A_32_P166598,33828,"family with sequence similarity 35, member A",54537,10,-0.35062546580507714
FAM36A,1036063,A_32_P106646,77754,COX20 Cox2 chaperone homolog (S. cerevisiae),116228,1,-4.3150920412830525e-5
FAM38B,1040129,A_23_P130376,40538,piezo-type mechanosensitive ion channel component 2,63895,18,0.029305253335950437
FAM3A,1040235,A_23_P45488,37804,"family with sequence similarity 3, member A",60343,X,0.06343906940869627
FAM3B,1024403,CUST_2040_PI416261804,33390,"family with sequence similarity 3, member B",54097,21,0.11991320587248123
FAM3C,1022010,A_23_P157371,10300,"family with sequence similarity 3, member C",10447,7,-0.08413165925647391
FAM3D,1035301,A_23_P41145,79465,"family with sequence similarity 3, member D",131177,3,0.07615016288873273
FAM40A,1037085,A_23_P320457,59539,"family with sequence similarity 40, member A",85369,1,0.3874558318699961
FAM40B,1025642,A_32_P233735,36737,"family with sequence similarity 40, member B",57464,7,-3.010451231984008e-4
FAM43A,1035284,A_23_P422144,79479,"family with sequence similarity 43, member A",131583,3,-0.30499959692607653
FAM43B,1033887,A_24_P76313,81617,"family with sequence similarity 43, member B",163933,1,-0.11774859047590895
FAM45A,1031131,A_23_P104351,126720,"family with sequence similarity 45, member A",404636,10,0.1286904985839869
FAM46A,1041797,A_23_P70660,34892,"family with sequence similarity 46, member A",55603,6,0.5054078805719353
FAM47C,1024392,A_32_P158417,135388,"family with sequence similarity 47, member C",442444,X,-0.1520392267414177
FAM47E,1015924,A_32_P83811,1000756,"family with sequence similarity 47, member E",100129583,4,0.32140389904976213
FAM48A,1041821,A_23_P140050,34867,"family with sequence similarity 48, member A",55578,13,-0.13684050084823252
